name;use;origin;substitutes;aromas;alt_names;alt_names_extra
Adeena;aroma;USA;Willamette, Hallertauer Mittelfrüh, Styrian Golding;Herbal, Spicy, Floral, Lemon, Pine, Rose, Floral, Lemon, Citrus, Pine, Spicy, Smooth, Clean;ADHA-1940 ;
Admiral;bittering;GBR;Challenger, Northdown, Target;Citrus, Herbal, Orange, Resin, Tea;;
ADHA-527;dual-purpose;USA;Azacca;Anise, Nectarine, Stone Fruit, Spicy, Lime, Floral;;
ADHA-529;dual-purpose;USA;;Sweet, Coconut, Lemon, Hay, Mint, Tea, Green Tea, Aromatic, Smooth;;
African Queen;dual-purpose;ZAF;Amarillo, Cascade, Citra, Mosaic, Simcoe;Blueberry, Bubblegum, Cassis, Chilies, Citrus, Currant, Gazpacho, Gooseberry, Lemongrass, Stone Fruit;J17/63, Southern Queen;Africa Queen, SA Queen, S.A. Queen, South Africa Queen, South African Queen
Agnus;bittering;CZH;Columbus, Magnum, Nugget, Target;Citrus, Lavender, Leather, Spicy, Tobacco;;
Ahil;aroma;SLO;;;;
Ahtanum;aroma;USA;Amarillo, Cascade, Centennial, Willamette;Cedar, Citrus, Earthy, Floral, Geranium, Grapefruit, Lemon, Pine;;Ahtanium, Athanum, Athnanum
Akoya;aroma;GER;Aurora, Hallertauer Tradition, Northern Brewer, Perle;Fruity, Pepper, Spicy, Tea;;
Alliance;dual-purpose;GBR;;;;
Aloha;dual-purpose;USA;;Berry, Citrus, Floral, Fruity, Sweet;;
Amallia;dual-purpose;USA;;Earthy;;Amalia
Amarillo;aroma;USA;Cascade, Centennial, Chinook, Simcoe, Summer, Yellow Sub;Apricot, Citrus, Floral, Grapefruit, Lemon, Melon, Orange, Peach, Spicy, Tropical Fruits;;Amarillo, Armarillo, Amar, Amaerillo
Amethyst;aroma;CZH;;Citrus, Earthy, Spicy;;
Amira;bittering;GER;;;;
Apollo;bittering;USA;Bravo, Columbus, Magnum, Nugget;Cannabis, Citrus, Grapefruit, Lemon, Lime, Orange, Pine, Resin;;
Apolon;dual-purpose;SLO;;;;
Aquila;aroma;USA;Cluster, Galena;;;
Aramis;aroma;FRA;Ahtanum, Centennial, Challenger, Strisselspalt, Willamette, Hallertauer Mittelfrüh, Saaz, East Kent Golding;Citrus, Floral, Grassy, Herbal, Pepper, Spicy, Sweet, Caramel, Mint, Lemongrass, Rose, Jasmine, Strawberry, Raspberry;;Armis
Archer;aroma;GBR;;Apricot, Citrus, Floral, Lime, Peach;;
Ariana;dual-purpose;GER;Hallertauer Blanc, Hüll Melon, Mandarina Bavaria;Citrus, Fruity, Gooseberry, Herbal, Jasmine, Passion Fruit, Pineapple, Tangerine;;Arriana
Astra;dual-purpose;AUS;;Grapefruit, Grassy, Honey, Melon, Peach, Sweet, Tropical Fruits, White Wine;;
Atlas;aroma;SLO;;Floral, Lime, Pine;;
Aurora;dual-purpose;SLO;Northern Brewer, Perle, Styrian Golding;Floral, Lemongrass, Noble, Spicy;Super Styrians;Arora, Super Styrian, Styrian Aurora, Styrian Arora
Aurum;aroma;GER;;Spicy, Fruity, Floral, Herbal, Earthy, Citrus, Noble;;
