name;alt_names;alt_names_extra;lab;alt_lab;brand;alt_brand;product_id;alt_product_id;type;form;tolerance;tolerance_percent;flocculation;attenuation;min_temperature;max_temperature
Fermoale;;;AEB;;;;;;ale;dry;;;high;72.5;18;25
Fermoale AY3;;;AEB;;;;;;ale;dry;;;high;;14;22
Fermoale AY4;;;AEB;;;;;;ale;dry;medium;;high;75;17;25
Fermolager W;;;AEB;;;;;;lager;dry;high;;high;87;9;15
Fermolager Berlin;;;AEB;;;;;;lager;dry;;;;82.5;10;15
Weiss Arome+;;;AEB;;;;;;wheat;dry;;12;high;95;12;25
American Ale;;;Bio4;Bio 4;;;SY025;;ale;liquid;high;;medium;77;15;22
Heffeweizen Ale;;;Bio4;Bio 4;;;SY055;;wheat;liquid;medium;;low;74;16;22
London ESB;;;Bio4;Bio 4;;;SY030;;ale;liquid;medium;;high;71;18;22
Norwegian Kveik ;;;Bio4;Bio 4;;;SY081;;ale;liquid;high;;medium;65;22;37
Norwegian Kveik 2;;;Bio4;Bio 4;;;SY084;;ale;liquid;high;;high;76;20;37
Superyeast High Gravity Ale;;;Bio4;Bio 4;;;SY042;;ale;liquid;high;;medium;80;18;22
Aurora;;;Bootleg Biology;Bootleg;;;BBAUR ;;ale;liquid;medium;;medium;81;24;37
NEEPAH Blend;;;Bootleg Biology;Bootleg;;;BBXNPA ;;ale;liquid;low;;low;80;19;21
Belgian Blend;;;Bootleg Biology;Bootleg;;;BBXBELG;;ale;liquid;medium;;low;72;17;22
Berliner Blend;;;Bootleg Biology;Bootleg;;;BBXBRLN ;;brett-bacteria;liquid;low;;low;98;18;24
Brulosophy Blend;;;Bootleg Biology;Bootleg;;;BBXBRU1;;ale;liquid;low;;medium;76;10;20
Chardonnay;;;Bootleg Biology;Bootleg;;;BB99301A;;wine-cider;liquid;medium;;low;70;18;24
Funk Weapon #1;;;Bootleg Biology;Bootleg;;;BB0034A ;;brett-bacteria;liquid;medium;;low;80;18;24
Funk Weapon #2;;;Bootleg Biology;Bootleg;;;BB0035C ;;brett-bacteria;liquid;medium;;low;80;18;24
Funk Weapon #3;;;Bootleg Biology;Bootleg;;;BB0022 ;;brett-bacteria;liquid;medium;;low;80;18;24
Oslo;;;Bootleg Biology;Bootleg;;;OSLO;;ale;liquid;medium;;medium;82;18;41
S. Arlingtonesis;;;Bootleg Biology;Bootleg;;;BB22204;;ale;liquid;medium;;medium;85;16;24
Saison Parfait;;;Bootleg Biology;Bootleg;;;BBX0104;;ale;liquid;medium;;medium;90;18;29
Sour Solera Blend;;;Bootleg Biology;Bootleg;;;BBXSS;;brett-bacteria;liquid;medium;;medium;95;18;24
Sour Weapon L;;;Bootleg Biology;Bootleg;;;BBXSWL ;;brett-bacteria;liquid;low;;low;;29;37
Sour Weapon P;;;Bootleg Biology;Bootleg;;;BBX0089;;brett-bacteria;liquid;medium;;low;;27;38
The Mad Fermentationist Saison Blend;;;Bootleg Biology;Bootleg;;;BBXMAD1;;brett-bacteria;liquid;medium;;medium;90;20;27
Blanche;;;Brewferm;;;;Y015;;ale;dry;;;low;78;18;23
Lager;;;Brewferm;;;;Y016;;lager;dry;;;high;78;10;15
Top;;;Brewferm;;;;;;ale;dry;medium;;medium-high;75;18;25
Ringwood Ale;;;BSI;;;;1187;;ale;liquid;medium;;high;72;18;23
Pasteur Champagne;;;BSI;;;;1868;;wine-cider;liquid;high;;low;68;4;34
German Lager;;;BSI;;;;3470;;lager;liquid;medium;;medium;75;8;12
German Ale;;;BSI;;;;A-07;;ale;liquid;low;;low;75;13;19
American White Ale;;;BSI;;;;A-10;;ale;liquid;medium;;low;76;16;22
London Ale III;;;BSI;;;;A-18;;ale;liquid;medium;;medium;73;18;23
London Ale I;;;BSI;;;;A-28;;ale;liquid;medium;;medium;75;16;22
British Ale III;;;BSI;;;;A-32;;ale;liquid;medium;;high;69;16;22
British Ale II;;;BSI;;;;A-35;;ale;liquid;medium;;high;74;17;24
Old German Ale;;;BSI;;;;A-38;;ale;liquid;medium;;low;75;16;22
Chico Ale;;;BSI;;;;A-56;;ale;liquid;medium;;medium;75;16;22
Kolsch;;;BSI;;;;A-65;;ale;liquid;medium;;low;75;12;18
London Ale II;;;BSI;;;;A-68;;ale;liquid;medium;;high;69;18;22
Timothy Taylor Ale;;;BSI;;;;A-69;;ale;liquid;medium;;high;69;18;22
American Microbrewery Ale;;;BSI;;;;A-72;;ale;liquid;medium;;high;74;17;22
Henley on Thames Ale;;;BSI;;;;A-75;;ale;liquid;medium;;medium;74;17;22
Scotch Ale;;;BSI;;;;A-78;;ale;liquid;high;;high;71;13;21
Irish Ale;;;BSI;;;;A-84;;ale;liquid;medium;;medium;73;18;22
British Ale;;;BSI;;;;A-98;;ale;liquid;medium;;high;74;18;22
Whitbread Ale;;;BSI;;;;A-99;;ale;liquid;low;;high;70;18;24
Belgian Ale;;;BSI;;;;ABS3;;ale;liquid;medium;;high;74;18;24
Andechs Lager;;;BSI;;;;;;lager;liquid;medium;;medium;73;10;12
Andechs Weizen;;;BSI;;;;;;ale;liquid;medium;;low;74;18;21
Augustiner Lager;;;BSI;;;;;;lager;liquid;medium;;medium;73;11;17
Amber Lager;;;Bulldog;;;;B38;;lager;dry;medium;;high;73;9;14
American West;;;Bulldog;;;;B5;;ale;dry;medium;;medium;73;16;21
Belgian Saison;;;Bulldog;;;;B16;;ale;dry;high;;medium;85;18;30
